hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,city
Resort Hotel - Chandigarh,0,0,2024,May,22,27,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,2,A,E,0,No Deposit,,Transient,38,1,0,Check-Out,27:37.7,Chandigarh
Resort Hotel - Kochi,0,1,2024,January,1,4,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,3,A,D,0,No Deposit,,Transient,39,0,0,Check-Out,08:18.0,Kochi
Resort Hotel - Jaipur,0,1,2024,July,31,30,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,4,A,A,0,No Deposit,,Transient,45,1,0,Check-Out,58:06.9,Jaipur
Resort Hotel - Bangalore,0,4,2024,March,12,24,0,1,1,1,0,BB,PRT,Direct,Direct,1,0,5,A,A,0,No Deposit,,Transient,58,0,0,Check-Out,51:58.0,Bangalore
Resort Hotel - Hyderabad,0,0,2024,December,50,13,1,0,1,0,0,BB,PRT,Direct,Direct,1,0,6,D,D,0,No Deposit,,Transient,111,0,0,Check-Out,37:03.8,Hyderabad
Resort Hotel - Bangalore,0,1,2024,December,52,28,0,1,2,0,0,BB,PRT,Direct,Direct,1,0,7,A,E,0,No Deposit,,Transient,143,0,1,Check-Out,29:46.7,Bangalore
Resort Hotel - Bangalore,0,4,2024,November,44,2,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,8,A,A,0,No Deposit,,Transient,54.9,0,1,Check-Out,58:16.8,Bangalore
Resort Hotel - Jaipur,0,0,2024,June,24,15,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,Transient-Party,48,0,1,Check-Out,18:12.2,Jaipur
Resort Hotel - Pune,0,0,2024,January,4,24,1,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient-Party,39,0,1,Check-Out,16:42.5,Pune
Resort Hotel - Mumbai,0,188,2024,July,30,26,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,143,Contract,57.6,0,0,Check-Out,16:35.6,Mumbai
Resort Hotel - Kolkata,0,1,2024,March,11,16,1,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,35.1,0,1,Check-Out,30:06.3,Kolkata
Resort Hotel - Chandigarh,0,0,2024,February,6,9,1,0,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,Transient,45,1,0,Check-Out,22:59.6,Chandigarh
Resort Hotel - Chandigarh,0,0,2024,February,8,21,0,0,2,0,0,BB,PRT,Direct,Direct,1,0,0,A,D,0,No Deposit,,Transient,0,0,0,Check-Out,27:30.7,Chandigarh
Resort Hotel - Delhi,0,48,2024,November,44,3,2,5,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,Transient,86,0,3,Check-Out,19:36.5,Delhi
Resort Hotel - Kochi,0,40,2024,August,33,15,2,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2,Contract,42.5,0,0,Check-Out,32:02.2,Kochi
Resort Hotel - Ahmedabad,0,122,2024,January,3,19,4,6,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,45,0,0,Check-Out,53:28.8,Ahmedabad
Resort Hotel - Indore,0,0,2024,March,10,4,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314,Transient,31.2,0,0,Check-Out,42:33.6,Indore
Resort Hotel - Chandigarh,0,0,2024,May,21,26,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,1,A,A,0,No Deposit,,Transient,39,0,0,Check-Out,41:36.5,Chandigarh
Resort Hotel - Bhopal,0,21,2024,March,11,16,1,1,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,Transient,77.4,0,2,Check-Out,03:11.5,Bhopal
Resort Hotel - Hyderabad,0,5,2024,June,26,24,1,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,Transient,37,0,0,Check-Out,38:09.5,Hyderabad
Resort Hotel - Mumbai,0,5,2024,September,35,1,1,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,Transient,37,0,0,Check-Out,56:31.1,Mumbai
Resort Hotel - Indore,0,1,2024,March,9,2,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,94,Transient-Party,35,0,0,Check-Out,18:06.0,Indore
Resort Hotel - Ahmedabad,0,0,2024,September,37,9,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,Transient,39,0,0,Check-Out,29:27.3,Ahmedabad
Resort Hotel - Bangalore,0,0,2024,December,49,7,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,1,A,A,0,No Deposit,,Transient,38,0,0,Check-Out,49:49.6,Bangalore
Resort Hotel - Delhi,0,0,2024,January,1,7,1,0,2,0,0,BB,PRT,Direct,Direct,1,0,2,D,D,0,No Deposit,,Transient,46,0,1,Check-Out,03:34.5,Delhi
Resort Hotel - Goa,0,0,2024,January,1,3,0,1,2,0,0,BB,PRT,Direct,Direct,1,0,3,A,D,0,No Deposit,,Transient,39,0,1,Check-Out,49:44.4,Goa
Resort Hotel - Indore,0,0,2024,September,36,4,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,4,A,D,0,No Deposit,,Transient,39,0,1,Check-Out,09:16.1,Indore
Resort Hotel - Hyderabad,0,0,2024,August,34,23,0,1,2,0,0,BB,PRT,Direct,Direct,1,0,5,A,D,0,No Deposit,,Transient,40,0,1,Check-Out,22:21.5,Hyderabad
Resort Hotel - Bhopal,0,0,2024,April,14,5,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,6,A,D,0,No Deposit,,Transient,50,0,1,Check-Out,33:58.5,Bhopal
Resort Hotel - Jaipur,0,5,2024,July,29,17,1,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,Transient,37,0,0,Check-Out,57:54.6,Jaipur
Resort Hotel - Hyderabad,0,7,2024,July,31,30,1,3,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,Transient,27,0,0,Check-Out,33:11.9,Hyderabad
Resort Hotel - Bangalore,0,1,2024,December,51,16,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,B,0,No Deposit,94,Transient-Party,42,1,0,Check-Out,30:47.7,Bangalore
Resort Hotel - Bangalore,0,43,2024,May,19,8,2,2,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,36,Transient,38.04,0,0,Check-Out,14:16.2,Bangalore
Resort Hotel - Pune,0,41,2024,December,50,10,4,6,2,1,0,BB,FRA,Direct,Direct,0,0,0,C,H,0,No Deposit,,Transient-Party,66,0,1,Check-Out,16:00.5,Pune
Resort Hotel - Pune,0,5,2024,July,29,16,1,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,Transient,40,1,0,Check-Out,38:34.6,Pune
Resort Hotel - Kochi,1,33,2024,May,18,1,1,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,1,A,A,0,No Deposit,,Transient,25,0,0,No-Show,46:35.8,Kochi
Resort Hotel - Chandigarh,0,6,2024,October,41,12,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,1,1,A,D,2,No Deposit,,Transient,39,0,0,Check-Out,44:36.4,Chandigarh
Resort Hotel - Kolkata,0,0,2024,January,1,4,1,1,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,147,Transient,65.6,0,0,Check-Out,47:11.8,Kolkata
Resort Hotel - Kolkata,0,0,2024,July,28,9,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,Transient,39,0,0,Check-Out,01:03.2,Kolkata
Resort Hotel - Goa,0,0,2024,September,35,1,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,47,Transient,48,0,0,Check-Out,56:31.1,Goa
Resort Hotel - Kolkata,0,0,2024,October,41,10,0,1,1,0,0,BB,PRT,Direct,Direct,1,0,1,A,A,0,No Deposit,47,Transient,42,0,0,Check-Out,35:37.4,Kolkata
Resort Hotel - Kochi,0,101,2024,August,33,16,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,175,Transient,36.86,0,0,Check-Out,48:44.3,Kochi
Resort Hotel - Goa,0,21,2024,December,49,7,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,Transient,42.5,0,1,Check-Out,30:35.0,Goa
Resort Hotel - Bangalore,0,115,2024,October,41,10,2,5,3,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,243,Transient,73.43,0,2,Check-Out,14:53.0,Bangalore
Resort Hotel - Kochi,0,0,2024,January,1,3,1,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,Transient,48,0,0,Check-Out,00:48.8,Kochi
Resort Hotel - Goa,0,0,2024,July,31,29,1,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,Transient,35,0,0,Check-Out,36:30.8,Goa
Resort Hotel - Indore,0,0,2024,April,14,1,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,0,No Deposit,,Transient,35,0,0,Check-Out,58:45.8,Indore
Resort Hotel - Ahmedabad,0,0,2024,August,31,2,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,0,No Deposit,,Transient,65,0,0,Check-Out,59:39.2,Ahmedabad
Resort Hotel - Chandigarh,0,0,2024,July,27,1,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,4,A,C,1,No Deposit,,Transient,27,0,0,Check-Out,51:07.6,Chandigarh
Resort Hotel - Chennai,0,1,2024,December,52,29,0,3,1,0,0,BB,PRT,Corporate,Corporate,1,0,5,A,B,0,No Deposit,,Transient,35,0,0,Check-Out,27:27.6,Chennai
Resort Hotel - Lucknow,0,38,2024,March,9,2,2,5,2,1,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,243,Transient,76.93,0,1,Check-Out,34:42.7,Lucknow
Resort Hotel - Chandigarh,0,2,2024,August,33,15,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,Transient,39,0,0,Check-Out,52:11.4,Chandigarh
Resort Hotel - Bhopal,1,2,2024,June,25,17,0,1,1,0,0,BB,PRT,Direct,Direct,1,1,1,A,D,0,No Deposit,,Transient,39,0,0,Canceled,21:17.2,Bhopal
Resort Hotel - Delhi,0,7,2024,July,29,19,0,1,1,0,0,BB,PRT,Direct,Direct,1,1,1,A,D,0,No Deposit,,Transient,40,0,0,Check-Out,48:55.2,Delhi
Resort Hotel - Chandigarh,0,45,2024,May,21,23,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,Contract,43.93,0,1,Check-Out,35:40.1,Chandigarh
Resort Hotel - Bhopal,0,121,2024,January,3,21,4,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,Transient,44.14,0,2,Check-Out,56:03.8,Bhopal
Resort Hotel - Goa,0,0,2024,October,42,16,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,Transient-Party,48,1,0,Check-Out,39:11.9,Goa
Resort Hotel - Hyderabad,0,9,2024,January,2,14,2,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,Transient,78.2,0,0,Check-Out,40:41.4,Hyderabad
Resort Hotel - Delhi,0,22,2024,March,10,6,0,2,1,0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,175,Transient,37.6,0,1,Check-Out,25:15.8,Delhi
Resort Hotel - Delhi,0,21,2024,February,5,2,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,Transient,54,0,2,Check-Out,42:20.3,Delhi
Resort Hotel - Hyderabad,0,21,2024,January,5,30,2,5,2,0,1,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,Transient,43.93,0,2,Check-Out,07:04.7,Hyderabad
Resort Hotel - Jaipur,1,289,2024,May,21,25,1,2,2,0,0,FB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,134,Transient-Party,69,0,0,Canceled,32:04.7,Jaipur
Resort Hotel - Ahmedabad,1,289,2024,December,51,16,1,2,2,0,0,FB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,134,Transient-Party,69,0,0,Canceled,50:54.0,Ahmedabad
Resort Hotel - Jaipur,0,14,2024,December,50,15,1,3,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,Transient,48,0,0,Check-Out,45:16.4,Jaipur
Resort Hotel - Hyderabad,0,0,2024,August,33,16,1,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,Transient,35,0,0,Check-Out,08:07.1,Hyderabad
Resort Hotel - Delhi,0,6,2024,February,7,15,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,0,No Deposit,,Transient,35,0,0,Check-Out,51:20.9,Delhi
Resort Hotel - Lucknow,0,10,2024,July,30,28,1,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,D,0,No Deposit,,Transient,35,0,0,Check-Out,59:47.8,Lucknow
Resort Hotel - Kolkata,0,0,2024,August,34,22,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,4,A,E,0,No Deposit,,Transient,30,0,0,Check-Out,25:53.9,Kolkata
Resort Hotel - Bhopal,0,24,2024,March,12,23,1,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,5,A,A,1,No Deposit,,Transient,42,0,0,Check-Out,42:50.9,Bhopal
Resort Hotel - Mumbai,0,0,2024,December,51,22,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,Transient,48,0,0,Check-Out,47:26.5,Mumbai
Resort Hotel - Delhi,0,1,2024,May,19,12,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,Transient,35,0,0,Check-Out,46:51.0,Delhi
Resort Hotel - Hyderabad,1,1,2024,September,39,28,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,2,A,F,0,No Deposit,,Transient,35,0,0,Canceled,41:10.8,Hyderabad
Resort Hotel - Delhi,0,0,2024,November,48,28,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,2,A,F,0,No Deposit,88,Transient,35,0,0,Check-Out,30:14.0,Delhi
Resort Hotel - Jaipur,0,0,2024,October,41,12,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,1,3,A,F,0,No Deposit,88,Transient,35,0,0,Check-Out,56:57.1,Jaipur
Resort Hotel - Chennai,0,0,2024,December,50,13,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,1,4,A,A,0,No Deposit,88,Transient,35,0,0,Check-Out,12:30.5,Chennai
Resort Hotel - Pune,0,0,2024,January,2,13,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,5,A,D,0,No Deposit,88,Transient,35,0,0,Check-Out,10:08.7,Pune
Resort Hotel - Kolkata,0,0,2024,September,36,7,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,1,6,A,A,0,No Deposit,88,Transient,35,0,0,Check-Out,00:43.8,Kolkata
Resort Hotel - Pune,0,0,2024,April,15,10,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,7,A,D,0,No Deposit,88,Transient,30,0,0,Check-Out,48:32.2,Pune
Resort Hotel - Jaipur,0,0,2024,February,5,3,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,8,A,A,0,No Deposit,88,Transient,30,0,0,Check-Out,14:22.7,Jaipur
Resort Hotel - Lucknow,0,0,2024,July,30,27,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,9,A,D,0,No Deposit,88,Transient,30,0,0,Check-Out,44:00.3,Lucknow
Resort Hotel - Jaipur,0,0,2024,December,51,21,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,10,A,D,0,No Deposit,88,Transient,30,0,0,Check-Out,31:30.8,Jaipur
Resort Hotel - Delhi,0,0,2024,October,40,1,0,1,1,0,0,BB,PRT,Direct,Corporate,1,1,11,A,A,0,No Deposit,47,Transient,30,0,0,Check-Out,04:13.9,Delhi
Resort Hotel - Bhopal,0,0,2024,May,18,5,0,1,1,0,0,BB,PRT,Direct,Corporate,1,1,12,A,D,0,No Deposit,47,Transient,30,0,0,Check-Out,21:40.4,Bhopal
Resort Hotel - Kolkata,0,0,2024,October,42,15,0,1,1,0,0,BB,PRT,Direct,Corporate,1,1,13,A,D,0,No Deposit,47,Transient,42,0,0,Check-Out,28:48.5,Kolkata
Resort Hotel - Kochi,0,0,2024,May,19,11,0,1,1,0,0,BB,PRT,Direct,Corporate,1,1,14,A,B,0,No Deposit,47,Transient,42,0,0,Check-Out,18:42.8,Kochi
Resort Hotel - Lucknow,0,1,2024,March,13,29,0,0,1,0,0,BB,PRT,Direct,Corporate,1,1,15,A,A,0,No Deposit,47,Transient,0,0,0,Check-Out,29:56.9,Lucknow
Resort Hotel - Mumbai,0,0,2024,April,18,30,0,1,1,0,0,BB,PRT,Direct,Corporate,1,1,16,A,A,0,No Deposit,47,Transient,42,0,0,Check-Out,17:11.3,Mumbai
Resort Hotel - Ahmedabad,0,0,2024,May,18,2,0,2,1,0,0,BB,PRT,Direct,Corporate,1,1,17,A,A,0,No Deposit,47,Transient,57,0,0,Check-Out,39:00.9,Ahmedabad
Resort Hotel - Indore,0,0,2024,May,21,24,0,1,1,0,0,BB,PRT,Direct,Corporate,1,1,18,A,C,0,No Deposit,47,Transient,57,0,0,Check-Out,49:06.0,Indore
Resort Hotel - Chennai,0,1,2024,January,3,18,0,1,1,0,0,BB,PRT,Direct,Corporate,1,1,19,A,A,0,No Deposit,47,Transient,126,0,0,Check-Out,20:10.1,Chennai
Resort Hotel - Delhi,0,0,2024,April,15,14,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,20,A,F,0,No Deposit,88,Group,42,0,0,Check-Out,35:41.1,Delhi
Resort Hotel - Lucknow,0,0,2024,July,30,22,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,21,A,D,0,No Deposit,88,Transient,30,0,0,Check-Out,27:32.2,Lucknow
Resort Hotel - Pune,0,0,2024,June,25,21,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,22,A,D,0,No Deposit,88,Transient,30,0,0,Check-Out,46:25.4,Pune
Resort Hotel - Mumbai,0,0,2024,February,9,27,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,23,A,D,0,No Deposit,88,Transient,35,0,0,Check-Out,19:22.7,Mumbai
Resort Hotel - Kolkata,0,0,2024,December,50,10,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,24,A,D,0,No Deposit,88,Transient,35,0,0,Check-Out,38:47.6,Kolkata
Resort Hotel - Bhopal,0,0,2024,March,12,21,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,25,A,F,0,No Deposit,88,Transient,45,0,0,Check-Out,13:34.5,Bhopal
Resort Hotel - Indore,0,0,2024,May,22,29,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,26,A,A,0,No Deposit,,Transient,75,0,0,Check-Out,16:22.2,Indore
Resort Hotel - Pune,0,0,2024,January,3,16,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,Transient,48,0,0,Check-Out,54:42.6,Pune
Resort Hotel - Chandigarh,0,5,2024,February,6,9,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175,Transient-Party,31.2,0,0,Check-Out,48:38.1,Chandigarh
Resort Hotel - Bangalore,0,61,2024,April,16,18,0,1,2,0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,251,Transient,46,0,1,Check-Out,11:32.0,Bangalore
Resort Hotel - Goa,0,7,2024,December,49,5,0,2,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314,Transient,58.8,1,1,Check-Out,28:16.3,Goa
Resort Hotel - Goa,0,1,2024,December,52,25,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,Transient,48,0,0,Check-Out,30:52.3,Goa
Resort Hotel - Jaipur,0,1,2024,July,27,6,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,,Transient,40,0,0,Check-Out,49:04.6,Jaipur
Resort Hotel - Jaipur,0,1,2024,January,3,18,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,Transient,35.1,0,0,Check-Out,44:27.0,Jaipur
Resort Hotel - Kochi,0,0,2024,July,29,21,1,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,1,No Deposit,250,Transient,48,0,2,Check-Out,54:29.9,Kochi
Resort Hotel - Delhi,0,5,2024,January,3,16,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175,Transient-Party,38.4,0,0,Check-Out,18:13.2,Delhi
Resort Hotel - Kochi,0,129,2024,May,18,1,2,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,Transient,45,0,2,Check-Out,58:40.2,Kochi
Resort Hotel - Goa,0,5,2024,March,12,21,2,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,Transient,56.48,0,1,Check-Out,22:22.8,Goa
Resort Hotel - Kochi,0,79,2024,May,22,29,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,46.5,1,1,Check-Out,59:15.6,Kochi
Resort Hotel - Bhopal,0,79,2024,February,7,16,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,40.5,0,1,Check-Out,28:55.6,Bhopal
Resort Hotel - Pune,0,8,2024,November,44,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient-Party,48,0,2,Check-Out,41:53.6,Pune
Resort Hotel - Ahmedabad,0,8,2024,July,30,25,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient-Party,48,0,2,Check-Out,30:12.6,Ahmedabad
Resort Hotel - Chandigarh,0,1,2024,July,27,5,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,43.2,0,1,Check-Out,25:20.5,Chandigarh
Resort Hotel - Bhopal,0,88,2024,June,23,9,2,5,2,2,0,BB,IRL,Direct,Direct,0,0,0,G,G,0,No Deposit,250,Transient,96.43,0,1,Check-Out,12:43.2,Bhopal
Resort Hotel - Lucknow,0,103,2024,December,49,7,2,5,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,241,Transient,76.12,0,0,Check-Out,03:23.7,Lucknow
Resort Hotel - Indore,0,88,2024,October,40,3,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,243,Contract,50.03,0,2,Check-Out,20:44.9,Indore
Resort Hotel - Indore,0,0,2024,December,49,2,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,Transient,37.73,0,1,Check-Out,12:15.3,Indore
Resort Hotel - Hyderabad,0,115,2024,March,12,19,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8,Contract,37.67,0,2,Check-Out,57:03.6,Hyderabad
Resort Hotel - Ahmedabad,0,130,2024,August,33,17,2,5,2,2,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,C,G,0,No Deposit,2,Contract,130.07,0,1,Check-Out,29:05.0,Ahmedabad
Resort Hotel - Chennai,0,130,2024,July,31,31,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,F,3,No Deposit,2,Contract,87.64,0,1,Check-Out,06:52.3,Chennai
Resort Hotel - Delhi,0,9,2024,January,1,4,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,,Transient,82,1,1,Check-Out,36:37.3,Delhi
Resort Hotel - Chandigarh,0,9,2024,June,26,27,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,Transient,76,0,1,Check-Out,46:43.9,Chandigarh
Resort Hotel - Indore,0,0,2024,November,45,8,0,3,1,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,5,No Deposit,,Transient,42,1,0,Check-Out,02:13.1,Indore
Resort Hotel - Mumbai,0,0,2024,September,37,15,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,2,No Deposit,,Transient,48,0,0,Check-Out,30:32.1,Mumbai
Resort Hotel - Hyderabad,1,155,2024,March,10,5,1,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,Transient,36,0,0,Canceled,46:41.3,Hyderabad
Resort Hotel - Bangalore,0,9,2024,October,42,17,2,1,2,0,0,BB,PRT,Groups,Direct,1,1,0,A,A,2,No Deposit,,Transient,42,1,0,Check-Out,09:14.6,Bangalore
Resort Hotel - Kolkata,0,101,2024,July,28,14,4,10,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,243,Contract,62.5,0,0,Check-Out,00:38.2,Kolkata
Resort Hotel - Kolkata,0,20,2024,February,6,5,0,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175,Transient,50.8,1,0,Check-Out,40:28.3,Kolkata
Resort Hotel - Bangalore,0,48,2024,November,45,7,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,Contract,42.5,0,1,Check-Out,36:50.9,Bangalore
Resort Hotel - Delhi,0,48,2024,April,17,23,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,Contract,42.5,0,1,Check-Out,23:11.4,Delhi
Resort Hotel - Delhi,0,159,2024,November,46,11,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,Contract,43.93,0,1,Check-Out,29:48.5,Delhi
Resort Hotel - Ahmedabad,0,111,2024,July,29,21,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,40,Transient,81.79,0,0,Check-Out,58:02.4,Ahmedabad
Resort Hotel - Chennai,0,3,2024,March,11,17,0,1,1,0,0,HB,PRT,Complementary,Direct,0,0,0,A,E,0,No Deposit,,Transient,0,0,0,Check-Out,19:53.5,Chennai
Resort Hotel - Kochi,0,3,2024,February,8,23,0,1,1,0,0,HB,PRT,Complementary,Direct,0,0,0,A,E,0,No Deposit,,Transient,0,0,0,Check-Out,19:53.0,Kochi
